Date,Open,High,Low,Close,Volume,Name
2006-01-03,2.37,2.39,2.31,2.38,151640000,AMZN
2006-01-04,2.37,2.39,2.33,2.36,148820000,AMZN
2006-01-05,2.36,2.41,2.36,2.38,108350000,AMZN
2006-01-06,2.4,2.43,2.37,2.39,123090000,AMZN
2006-01-09,2.33,2.35,2.32,2.35,178900000,AMZN
2006-01-10,2.32,2.34,2.27,2.28,193740000,AMZN
2006-01-11,2.28,2.29,2.21,2.25,169950000,AMZN
2006-01-12,2.24,2.25,2.2,2.22,116370000,AMZN
2006-01-13,2.22,2.24,2.2,2.22,88640000,AMZN
2006-01-17,2.2,2.22,2.18,2.2,112700000,AMZN
2006-01-18,2.16,2.23,2.15,2.22,174890000,AMZN
2006-01-19,2.22,2.26,2.21,2.22,103140000,AMZN
2006-01-20,2.21,2.22,2.16,2.2,166890000,AMZN
2006-01-23,2.21,2.24,2.17,2.19,115060000,AMZN
2006-01-24,2.18,2.22,2.17,2.2,86850000,AMZN
2006-01-25,2.2,2.22,2.17,2.18,85750000,AMZN
2006-01-26,2.2,2.24,2.19,2.23,97820000,AMZN
2006-01-27,2.23,2.26,2.23,2.26,83480000,AMZN
2006-01-30,2.27,2.3,2.24,2.25,82000000,AMZN
2006-01-31,2.24,2.26,2.21,2.24,81120000,AMZN
2006-02-01,2.2,2.23,2.17,2.2,150030000,AMZN
2006-02-02,2.19,2.2,2.14,2.14,474780000,AMZN
2006-02-03,1.89,1.93,1.87,1.92,670660000,AMZN
2006-02-06,1.92,1.92,1.89,1.9,170070000,AMZN
2006-02-07,1.9,1.91,1.86,1.88,148090000,AMZN
2006-02-08,1.89,1.92,1.86,1.91,150890000,AMZN
2006-02-09,1.93,1.95,1.9,1.9,138660000,AMZN
2006-02-10,1.9,1.93,1.87,1.93,100240000,AMZN
2006-02-13,1.91,1.92,1.88,1.89,95010000,AMZN
2006-02-14,1.9,1.92,1.87,1.91,90290000,AMZN
2006-02-15,1.91,1.96,1.91,1.96,138050000,AMZN
2006-02-16,1.97,2,1.94,1.96,113710000,AMZN
2006-02-17,1.95,1.97,1.95,1.96,91640000,AMZN
2006-02-21,1.95,1.96,1.91,1.91,101120000,AMZN
2006-02-22,1.92,1.96,1.89,1.94,147150000,AMZN
2006-02-23,1.93,1.94,1.89,1.9,185750000,AMZN
2006-02-24,1.91,1.92,1.89,1.92,74410000,AMZN
2006-02-27,1.92,1.94,1.9,1.9,88980000,AMZN
2006-02-28,1.89,1.9,1.85,1.87,183030000,AMZN
2006-03-01,1.87,1.88,1.84,1.86,139640000,AMZN
2006-03-02,1.78,1.85,1.77,1.84,231690000,AMZN
2006-03-03,1.84,1.89,1.83,1.86,120900000,AMZN
2006-03-06,1.86,1.88,1.84,1.84,85170000,AMZN
2006-03-07,1.84,1.87,1.83,1.85,94460000,AMZN
2006-03-08,1.84,1.87,1.83,1.84,124740000,AMZN
2006-03-09,1.84,1.85,1.79,1.81,144000000,AMZN
2006-03-10,1.81,1.82,1.79,1.81,99460000,AMZN
2006-03-13,1.82,1.83,1.8,1.81,65560000,AMZN
2006-03-14,1.8,1.85,1.8,1.85,83700000,AMZN
2006-03-15,1.85,1.85,1.82,1.84,56040000,AMZN
2006-03-16,1.85,1.87,1.84,1.84,96460000,AMZN
2006-03-17,1.84,1.85,1.79,1.8,137750000,AMZN
2006-03-20,1.8,1.86,1.79,1.81,123420000,AMZN
2006-03-21,1.82,1.84,1.78,1.8,133430000,AMZN
2006-03-22,1.8,1.83,1.79,1.8,86040000,AMZN
2006-03-23,1.8,1.82,1.77,1.78,80900000,AMZN
2006-03-24,1.79,1.81,1.77,1.77,73640000,AMZN
2006-03-27,1.77,1.78,1.76,1.76,74190000,AMZN
2006-03-28,1.76,1.8,1.76,1.78,114550000,AMZN
2006-03-29,1.78,1.84,1.77,1.82,143980000,AMZN
2006-03-30,1.82,1.84,1.81,1.83,80980000,AMZN
2006-03-31,1.83,1.84,1.82,1.83,53430000,AMZN
2006-04-03,1.83,1.87,1.8,1.81,101080000,AMZN
2006-04-04,1.81,1.85,1.8,1.84,74360000,AMZN
2006-04-05,1.83,1.87,1.81,1.87,111210000,AMZN
2006-04-06,1.86,1.94,1.86,1.93,185890000,AMZN
2006-04-07,1.93,1.93,1.85,1.85,114410000,AMZN
2006-04-10,1.86,1.86,1.81,1.83,94970000,AMZN
2006-04-11,1.83,1.84,1.78,1.8,132110000,AMZN
2006-04-12,1.8,1.82,1.8,1.81,57120000,AMZN
2006-04-13,1.8,1.84,1.77,1.83,74300000,AMZN
2006-04-17,1.82,1.83,1.75,1.76,88840000,AMZN
2006-04-18,1.77,1.82,1.76,1.81,91910000,AMZN
2006-04-19,1.81,1.85,1.79,1.84,85640000,AMZN
2006-04-20,1.83,1.86,1.81,1.82,107750000,AMZN
2006-04-21,1.83,1.84,1.79,1.8,88470000,AMZN
2006-04-24,1.81,1.81,1.77,1.79,61760000,AMZN
2006-04-25,1.78,1.79,1.75,1.78,256360000,AMZN
2006-04-26,1.77,1.81,1.76,1.79,221420000,AMZN
2006-04-27,1.78,1.79,1.76,1.79,118700000,AMZN
2006-04-28,1.79,1.79,1.76,1.76,69870000,AMZN
2006-05-01,1.76,1.78,1.72,1.73,141480000,AMZN
2006-05-02,1.73,1.75,1.71,1.72,117150000,AMZN
2006-05-03,1.71,1.72,1.68,1.7,151740000,AMZN
2006-05-04,1.73,1.74,1.72,1.72,119960000,AMZN
2006-05-05,1.73,1.75,1.71,1.75,114840000,AMZN
2006-05-08,1.75,1.77,1.72,1.73,84750000,AMZN
2006-05-09,1.72,1.76,1.71,1.74,109710000,AMZN
2006-05-10,1.73,1.75,1.71,1.71,66030000,AMZN
2006-05-11,1.71,1.71,1.65,1.68,153920000,AMZN
2006-05-12,1.68,1.69,1.63,1.64,97510000,AMZN
2006-05-15,1.63,1.64,1.61,1.64,86220000,AMZN
2006-05-16,1.64,1.65,1.62,1.64,77680000,AMZN
2006-05-17,1.62,1.64,1.58,1.58,136620000,AMZN
2006-05-18,1.59,1.68,1.58,1.63,240540000,AMZN
2006-05-19,1.63,1.7,1.6,1.7,196360000,AMZN
2006-05-22,1.7,1.75,1.66,1.74,222510000,AMZN
2006-05-23,1.75,1.8,1.69,1.69,176500000,AMZN
2006-05-24,1.67,1.76,1.67,1.76,190860000,AMZN
2006-05-25,1.77,1.78,1.73,1.78,116910000,AMZN
2006-05-26,1.78,1.82,1.77,1.8,90490000,AMZN
2006-05-30,1.79,1.79,1.72,1.73,118410000,AMZN
2006-05-31,1.74,1.75,1.69,1.73,103930000,AMZN
2006-06-01,1.73,1.77,1.72,1.75,118640000,AMZN
2006-06-02,1.76,1.76,1.7,1.74,108860000,AMZN
2006-06-05,1.72,1.73,1.66,1.67,100990000,AMZN
2006-06-06,1.68,1.69,1.65,1.67,85530000,AMZN
2006-06-07,1.67,1.73,1.65,1.69,106100000,AMZN
2006-06-08,1.68,1.7,1.62,1.68,166220000,AMZN
2006-06-09,1.68,1.72,1.67,1.69,104660000,AMZN
2006-06-12,1.7,1.72,1.67,1.68,83930000,AMZN
2006-06-13,1.67,1.71,1.66,1.67,108060000,AMZN
2006-06-14,1.68,1.7,1.65,1.68,97380000,AMZN
2006-06-15,1.69,1.76,1.68,1.75,124130000,AMZN
2006-06-16,1.74,1.76,1.74,1.75,102720000,AMZN
2006-06-19,1.76,1.77,1.75,1.75,84230000,AMZN
2006-06-20,1.75,1.78,1.74,1.77,89310000,AMZN
2006-06-21,1.77,1.85,1.77,1.83,157420000,AMZN
2006-06-22,1.83,1.84,1.81,1.82,95000000,AMZN
2006-06-23,1.82,1.83,1.8,1.83,78470000,AMZN
2006-06-26,1.83,1.86,1.82,1.84,72110000,AMZN
2006-06-27,1.84,1.88,1.81,1.82,112820000,AMZN
2006-06-28,1.83,1.86,1.82,1.83,75060000,AMZN
2006-06-29,1.84,1.93,1.83,1.93,127450000,AMZN
2006-06-30,1.93,1.94,1.89,1.93,103940000,AMZN
2006-07-03,1.93,1.93,1.91,1.93,28730000,AMZN
2006-07-05,1.91,1.92,1.84,1.86,114700000,AMZN
2006-07-06,1.85,1.89,1.83,1.84,87450000,AMZN
2006-07-07,1.84,1.86,1.79,1.81,100080000,AMZN
2006-07-10,1.81,1.83,1.77,1.79,77530000,AMZN
2006-07-11,1.79,1.8,1.75,1.78,121790000,AMZN
