Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,8.530000,8.562500,8.140000,8.252500,7.573748,48396400
2008-01-03,8.300000,8.465000,8.157500,8.187500,7.514097,47530800
2008-01-04,7.942500,7.982500,7.450000,7.500000,6.883142,73609200
2008-01-07,7.550000,7.612500,6.587500,6.725000,6.171883,100680000
2008-01-08,6.762500,7.322500,6.605000,6.867500,6.302663,110695600
2008-01-09,6.960000,7.225000,6.857500,7.222500,6.628466,74103600
2008-01-10,7.025000,7.185000,6.932500,7.072500,6.490805,55443200
2008-01-11,6.905000,7.050000,6.712500,6.762500,6.206300,57261200
2008-01-14,6.862500,7.222500,6.752500,7.212500,6.619287,53918800
2008-01-15,6.937500,7.020000,6.565000,6.682500,6.132880,72569200
2008-01-16,6.262500,6.340000,5.790000,5.927500,5.439976,146447200
2008-01-17,6.020000,6.180000,5.810000,5.825000,5.345906,113390000
2008-01-18,5.842500,6.242500,5.630000,6.210000,5.699242,92042800
2008-01-22,5.617500,6.045000,5.582500,5.900000,5.414738,70909200
2008-01-23,5.660000,6.185000,5.605000,6.007500,5.513397,92988000
2008-01-24,6.125000,6.470000,6.067500,6.467500,5.935563,59709200
2008-01-25,6.715000,6.865000,6.207500,6.237500,5.724479,68801200
2008-01-28,6.215000,6.277500,6.030000,6.162500,5.655647,57760800
2008-01-29,6.272500,6.377500,6.110000,6.352500,5.830021,41448400
2008-01-30,6.250000,6.392500,6.117500,6.297500,5.779544,53047600
2008-01-31,6.160000,6.262500,5.957500,6.147500,5.641882,58870800
2008-02-01,6.135000,6.750000,6.082500,6.715000,6.162706,59310400
2008-02-04,6.860000,6.897500,6.470000,6.505000,5.969978,56512800
2008-02-05,6.375000,6.377500,6.095000,6.097500,5.595994,49492800
2008-02-06,6.162500,6.332500,5.965000,6.077500,5.577641,55738000
2008-02-07,5.902500,6.310000,5.775000,6.137500,5.632704,66412800
2008-02-08,6.080000,6.295000,6.000000,6.247500,5.733657,39393200
2008-02-11,6.300000,6.402500,6.225000,6.267500,5.752012,50373200
2008-02-12,6.362500,6.590000,6.327500,6.500000,5.965390,60968800
2008-02-13,6.550000,6.775000,6.480000,6.755000,6.199418,74231200
2008-02-14,6.557500,6.562500,5.637500,5.652500,5.187595,218429600
2008-02-15,5.630000,5.782500,5.477500,5.567500,5.109585,81736400
2008-02-19,5.670000,5.680000,5.437500,5.485000,5.033870,55860800
